,location,BHK,total_sqft,bath,price
70,5th Phase JP Nagar,2,1440.0,2.0,60.0
71,5th Phase JP Nagar,3,1700.0,2.0,100.0
73,5th Phase JP Nagar,5,2500.0,5.0,110.0
74,5th Phase JP Nagar,1,600.0,1.0,30.0
75,5th Phase JP Nagar,2,1390.0,2.0,65.0
76,5th Phase JP Nagar,2,1256.0,2.0,62.8
77,5th Phase JP Nagar,2,1000.0,2.0,48.0
78,5th Phase JP Nagar,3,1350.0,2.0,75.0
79,5th Phase JP Nagar,1,552.0,1.0,23.5
80,5th Phase JP Nagar,2,1200.0,2.0,51.0
84,5th Phase JP Nagar,2,1030.0,2.0,57.0
85,5th Phase JP Nagar,2,1200.0,2.0,68.0
86,5th Phase JP Nagar,2,1190.0,2.0,61.8
87,5th Phase JP Nagar,5,4000.0,5.0,170.0
88,5th Phase JP Nagar,2,1080.0,2.0,53.0
89,5th Phase JP Nagar,2,1041.0,2.0,54.0
90,5th Phase JP Nagar,2,812.0,2.0,42.0
91,5th Phase JP Nagar,2,1010.0,2.0,57.0
93,5th Phase JP Nagar,2,1075.0,2.0,60.0
94,6th Phase JP Nagar,2,1192.0,2.0,74.0
95,6th Phase JP Nagar,2,1180.0,2.0,80.0
96,6th Phase JP Nagar,4,3245.0,4.0,250.0
97,6th Phase JP Nagar,3,1645.0,3.0,100.0
98,6th Phase JP Nagar,2,1140.0,2.0,65.0
99,6th Phase JP Nagar,3,2040.0,3.0,200.0
100,6th Phase JP Nagar,2,1213.0,2.0,63.0
101,6th Phase JP Nagar,2,1216.0,2.0,60.0
102,6th Phase JP Nagar,2,1460.0,2.0,80.0
103,6th Phase JP Nagar,3,2003.0,3.0,200.0
104,6th Phase JP Nagar,3,1810.0,3.0,131.0
105,6th Phase JP Nagar,3,1515.0,2.0,135.0
106,6th Phase JP Nagar,2,1192.0,2.0,75.0
107,6th Phase JP Nagar,2,1280.0,2.0,88.0
108,7th Phase JP Nagar,2,1080.0,2.0,72.0
109,7th Phase JP Nagar,2,1270.0,2.0,93.0
110,7th Phase JP Nagar,3,1420.0,2.0,100.0
111,7th Phase JP Nagar,3,1850.0,3.0,150.0
112,7th Phase JP Nagar,2,1245.0,2.0,94.0
113,7th Phase JP Nagar,2,1175.0,2.0,82.0
114,7th Phase JP Nagar,3,1400.0,2.0,95.0
115,7th Phase JP Nagar,3,2225.0,3.0,160.0
116,7th Phase JP Nagar,2,1050.0,2.0,71.0
117,7th Phase JP Nagar,2,1100.0,2.0,46.0
118,7th Phase JP Nagar,2,918.0,2.0,50.49
119,7th Phase JP Nagar,3,1450.0,2.0,100.0
120,7th Phase JP Nagar,2,1190.0,2.0,49.98
121,7th Phase JP Nagar,3,1420.0,2.0,96.0
122,7th Phase JP Nagar,3,1680.0,3.0,120.0
123,7th Phase JP Nagar,2,980.0,2.0,69.0
124,7th Phase JP Nagar,2,1180.0,2.0,72.0
128,7th Phase JP Nagar,3,1400.0,3.0,115.0
129,7th Phase JP Nagar,2,1270.0,2.0,83.0
131,7th Phase JP Nagar,4,2503.0,4.0,188.0
132,7th Phase JP Nagar,3,2200.0,3.0,190.0
135,7th Phase JP Nagar,3,1575.0,2.0,110.0
136,7th Phase JP Nagar,3,1850.0,3.0,140.0
137,7th Phase JP Nagar,3,1575.0,2.0,120.0
138,7th Phase JP Nagar,3,1850.0,3.0,150.0
139,7th Phase JP Nagar,3,1680.0,3.0,120.0
140,7th Phase JP Nagar,2,1175.0,2.0,82.5
143,7th Phase JP Nagar,2,1215.0,2.0,90.0
144,7th Phase JP Nagar,2,1050.0,2.0,75.0
145,7th Phase JP Nagar,3,1300.0,3.0,89.13
146,7th Phase JP Nagar,2,1130.0,2.0,73.0
147,7th Phase JP Nagar,3,1450.0,3.0,100.0
149,7th Phase JP Nagar,2,1050.0,2.0,50.0
150,7th Phase JP Nagar,2,1275.0,2.0,87.0
152,7th Phase JP Nagar,3,1650.0,3.0,110.0
153,7th Phase JP Nagar,2,850.0,2.0,42.0
154,7th Phase JP Nagar,3,1680.0,3.0,117.0
155,7th Phase JP Nagar,3,1850.0,3.0,150.0
156,7th Phase JP Nagar,2,1236.0,2.0,61.33
157,7th Phase JP Nagar,2,1000.0,2.0,53.0
158,7th Phase JP Nagar,3,1680.0,3.0,125.0
159,7th Phase JP Nagar,3,1675.0,2.0,135.0
160,7th Phase JP Nagar,2,1187.0,2.0,59.0
161,7th Phase JP Nagar,3,1850.0,3.0,155.0
162,7th Phase JP Nagar,2,1000.0,2.0,61.0
163,7th Phase JP Nagar,3,1460.0,2.0,100.0
164,7th Phase JP Nagar,3,1650.0,3.0,110.0
165,7th Phase JP Nagar,2,1200.0,2.0,62.5
166,7th Phase JP Nagar,2,1000.0,2.0,70.65
167,7th Phase JP Nagar,2,1080.0,2.0,75.0
169,7th Phase JP Nagar,3,1680.0,3.0,125.0
170,7th Phase JP Nagar,3,1460.0,2.0,97.0
171,7th Phase JP Nagar,2,1120.0,2.0,65.0
172,7th Phase JP Nagar,2,1100.0,3.0,60.0
173,7th Phase JP Nagar,3,1790.0,3.0,120.0
174,7th Phase JP Nagar,3,1680.0,3.0,117.0
175,7th Phase JP Nagar,2,1050.0,2.0,77.0
176,7th Phase JP Nagar,2,1050.0,2.0,75.0
177,7th Phase JP Nagar,2,1040.0,2.0,75.0
178,7th Phase JP Nagar,3,1400.0,2.0,95.0
179,7th Phase JP Nagar,3,1800.0,3.0,130.0
180,7th Phase JP Nagar,2,1050.0,2.0,68.0
181,7th Phase JP Nagar,2,1000.0,2.0,60.0
182,7th Phase JP Nagar,3,1680.0,3.0,125.0
183,7th Phase JP Nagar,2,1050.0,2.0,77.47
184,7th Phase JP Nagar,2,1270.0,2.0,80.0
186,7th Phase JP Nagar,3,1680.0,3.0,122.0
187,7th Phase JP Nagar,2,1130.0,2.0,85.0
188,7th Phase JP Nagar,3,1680.0,3.0,130.0
189,7th Phase JP Nagar,2,980.0,2.0,77.44
190,7th Phase JP Nagar,3,1680.0,3.0,112.0
192,7th Phase JP Nagar,3,2095.0,3.0,150.0
193,7th Phase JP Nagar,3,1976.0,3.0,145.0
194,7th Phase JP Nagar,3,1600.0,2.0,110.0
195,7th Phase JP Nagar,3,1765.0,3.0,118.0
196,7th Phase JP Nagar,3,1275.0,2.0,88.0
197,7th Phase JP Nagar,3,1450.0,2.0,102.0
198,7th Phase JP Nagar,3,1575.0,2.0,110.0
200,7th Phase JP Nagar,1,750.0,1.0,47.0
201,7th Phase JP Nagar,2,990.0,2.0,50.0
202,7th Phase JP Nagar,1,1000.0,1.0,60.0
204,7th Phase JP Nagar,3,1430.0,2.0,102.0
205,7th Phase JP Nagar,2,1128.0,2.0,60.0
206,7th Phase JP Nagar,2,1140.0,2.0,57.0
207,7th Phase JP Nagar,3,1420.0,3.0,90.0
208,7th Phase JP Nagar,2,1530.0,2.0,108.0
209,8th Phase JP Nagar,2,1073.5,2.0,54.005
210,8th Phase JP Nagar,1,451.0,1.0,29.9
212,8th Phase JP Nagar,2,1062.0,2.0,42.47
214,8th Phase JP Nagar,3,1455.0,3.0,73.31
215,8th Phase JP Nagar,2,871.0,2.0,55.0
216,8th Phase JP Nagar,2,1098.0,2.0,43.91
217,8th Phase JP Nagar,3,1800.0,3.0,80.0
218,8th Phase JP Nagar,4,2700.0,4.0,130.0
219,8th Phase JP Nagar,2,1080.0,2.0,38.0
220,8th Phase JP Nagar,2,1059.0,2.0,34.5
221,8th Phase JP Nagar,2,1080.0,2.0,35.0
223,8th Phase JP Nagar,2,1062.0,2.0,42.47
224,8th Phase JP Nagar,1,500.0,1.0,31.0
225,8th Phase JP Nagar,2,1100.0,2.0,35.0
226,8th Phase JP Nagar,4,2100.0,4.0,92.0
227,8th Phase JP Nagar,2,1035.0,2.0,39.33
228,8th Phase JP Nagar,2,909.0,2.0,40.9
229,8th Phase JP Nagar,3,1431.5,3.0,72.02
230,8th Phase JP Nagar,3,1900.0,4.0,90.0
231,8th Phase JP Nagar,1,500.0,1.0,30.0
232,8th Phase JP Nagar,2,1125.0,2.0,36.94
233,8th Phase JP Nagar,2,1100.0,2.0,35.0
234,8th Phase JP Nagar,2,1089.0,2.0,43.55
236,8th Phase JP Nagar,3,1504.0,2.0,83.0
237,8th Phase JP Nagar,4,2600.0,4.0,115.0
239,8th Phase JP Nagar,2,1089.0,2.0,43.55
241,8th Phase JP Nagar,2,1513.0,2.0,62.0
242,8th Phase JP Nagar,2,1298.0,2.0,59.0
243,8th Phase JP Nagar,2,1006.0,2.0,44.0
244,8th Phase JP Nagar,1,500.0,1.0,33.0
245,8th Phase JP Nagar,2,1160.0,2.0,95.0
246,8th Phase JP Nagar,2,1245.0,2.0,59.0
247,8th Phase JP Nagar,2,1510.0,2.0,80.0
248,8th Phase JP Nagar,3,3300.0,3.0,165.0
249,8th Phase JP Nagar,5,1730.0,5.0,75.0
252,8th Phase JP Nagar,2,1046.0,2.0,48.0
254,8th Phase JP Nagar,3,1408.0,3.0,80.0
256,9th Phase JP Nagar,2,1005.0,2.0,50.0
258,9th Phase JP Nagar,2,1100.0,2.0,65.0
259,9th Phase JP Nagar,2,1080.0,2.0,37.0
260,9th Phase JP Nagar,2,1035.0,2.0,45.0
261,9th Phase JP Nagar,4,5000.0,4.0,290.0
262,9th Phase JP Nagar,2,1164.0,2.0,56.0
263,9th Phase JP Nagar,2,1005.0,2.0,42.0
264,9th Phase JP Nagar,2,1127.0,2.0,50.0
265,9th Phase JP Nagar,2,1005.0,2.0,43.0
266,9th Phase JP Nagar,2,835.0,2.0,37.0
267,9th Phase JP Nagar,2,1050.0,2.0,39.0
268,9th Phase JP Nagar,2,660.0,2.0,27.0
269,9th Phase JP Nagar,1,600.0,1.0,20.0
270,9th Phase JP Nagar,2,1466.0,2.0,71.0
271,9th Phase JP Nagar,3,1890.0,2.0,93.0
272,9th Phase JP Nagar,2,1079.0,2.0,60.0
273,9th Phase JP Nagar,2,1480.0,2.0,80.0
274,9th Phase JP Nagar,2,1200.0,2.0,80.0
275,9th Phase JP Nagar,2,905.0,2.0,32.0
276,9th Phase JP Nagar,2,1073.0,2.0,52.36
277,9th Phase JP Nagar,3,1719.3,2.0,88.0
278,9th Phase JP Nagar,3,1780.0,3.0,88.0
280,9th Phase JP Nagar,3,1522.0,3.0,90.0
283,9th Phase JP Nagar,2,890.0,2.0,45.0
285,9th Phase JP Nagar,4,5000.0,4.0,300.0
287,9th Phase JP Nagar,2,1050.0,2.0,35.0
288,9th Phase JP Nagar,2,1331.95,2.0,69.0
289,AECS Layout,2,1100.0,2.0,45.0
290,AECS Layout,2,1028.0,2.0,42.0
291,AECS Layout,2,1199.0,2.0,65.0
292,AECS Layout,2,1080.0,2.0,55.0
293,AECS Layout,2,1123.0,2.0,64.0
294,AECS Layout,2,1308.0,2.0,60.0
295,AECS Layout,2,1005.0,2.0,55.0
297,Abbigere,2,985.0,2.0,40.39
298,Abbigere,6,2200.0,6.0,68.0
299,Abbigere,1,765.0,2.0,30.0
300,Abbigere,2,880.0,2.0,35.0
301,Abbigere,2,795.0,2.0,32.54
302,Abbigere,2,1005.0,2.0,39.59
303,Abbigere,1,734.0,1.0,19.82
305,Abbigere,2,1020.0,2.0,41.82
306,Abbigere,2,985.0,2.0,40.39
307,Abbigere,6,2500.0,6.0,81.0
308,Abbigere,2,795.0,2.0,32.54
309,Abbigere,2,1130.0,2.0,46.33
310,Abbigere,2,795.0,1.0,32.6
311,Abbigere,8,3000.0,8.0,150.0
312,Abbigere,2,985.0,2.0,38.92
313,Abbigere,2,1000.0,2.0,41.0
314,Abbigere,2,995.0,2.0,40.8
315,Abbigere,2,1020.0,2.0,40.8
316,Akshaya Nagar,2,1388.0,2.0,57.0
317,Akshaya Nagar,2,1070.0,2.0,54.0
318,Akshaya Nagar,2,1280.0,2.0,58.0
319,Akshaya Nagar,3,1662.0,3.0,85.1
320,Akshaya Nagar,3,1897.0,3.0,120.0
321,Akshaya Nagar,3,1410.0,2.0,75.0
322,Akshaya Nagar,3,1360.0,2.0,85.0
324,Akshaya Nagar,3,1410.0,2.0,80.0
325,Akshaya Nagar,3,1662.0,3.0,85.0
326,Akshaya Nagar,3,1662.0,3.0,85.5
327,Akshaya Nagar,2,1280.0,2.0,60.0
328,Akshaya Nagar,3,1666.0,3.0,95.0
329,Akshaya Nagar,3,1575.0,3.0,90.0
330,Akshaya Nagar,3,1430.0,2.0,75.0
331,Akshaya Nagar,3,1419.0,2.0,73.0
332,Akshaya Nagar,2,1280.0,2.0,60.0
333,Akshaya Nagar,2,1200.0,2.0,50.0
334,Akshaya Nagar,2,1092.0,2.0,60.0
335,Akshaya Nagar,3,1690.0,3.0,85.0
337,Akshaya Nagar,3,1897.0,4.0,93.0
338,Akshaya Nagar,3,1884.0,3.0,98.0
339,Akshaya Nagar,2,1314.0,2.0,68.8
340,Akshaya Nagar,3,1690.0,3.0,85.0
341,Akshaya Nagar,2,1265.0,2.0,67.0
342,Akshaya Nagar,2,1126.0,2.0,55.0
344,Akshaya Nagar,3,1662.0,3.0,90.0
345,Akshaya Nagar,3,1420.0,2.0,75.0
346,Akshaya Nagar,3,1412.0,2.0,88.0
347,Akshaya Nagar,3,1434.0,3.0,84.0
348,Akshaya Nagar,3,1890.0,4.0,100.0
350,Akshaya Nagar,3,1419.0,2.0,87.0
351,Akshaya Nagar,2,1300.0,2.0,54.0
352,Akshaya Nagar,3,1690.0,3.0,85.0
353,Akshaya Nagar,2,1113.0,2.0,52.0
354,Akshaya Nagar,3,1820.0,4.0,95.0
355,Akshaya Nagar,2,1100.0,2.0,48.0
356,Akshaya Nagar,3,1896.0,3.0,102.0
357,Akshaya Nagar,2,1300.0,2.0,66.0
358,Akshaya Nagar,2,1225.0,2.0,68.0
359,Akshaya Nagar,2,1179.0,2.0,51.0
360,Akshaya Nagar,3,1421.0,2.0,73.0
361,Akshaya Nagar,3,1893.0,4.0,95.0
362,Akshaya Nagar,2,900.0,2.0,45.0
363,Ambalipura,2,1105.0,2.0,75.0
364,Ambalipura,3,1800.0,3.0,110.0
365,Ambalipura,2,1150.0,2.0,80.0
366,Ambalipura,2,1250.0,2.0,66.25
367,Ambalipura,2,1332.0,2.0,79.0
368,Ambalipura,3,1730.0,3.0,120.0
370,Ambalipura,2,1230.0,2.0,66.25
371,Ambalipura,2,1351.0,2.0,77.0
375,Ambalipura,2,1303.0,2.0,80.0
376,Ambalipura,3,1607.0,2.0,112.0
377,Ambalipura,1,770.0,1.0,43.82
378,Ambalipura,2,1700.0,2.0,76.0
379,Ambalipura,2,1060.0,2.0,58.5
380,Ambalipura,3,1650.0,3.0,100.0
381,Ambalipura,3,1607.0,2.0,112.0
382,Ambalipura,2,1198.0,2.0,80.0
383,Ambedkar Nagar,3,1935.0,4.0,130.0
384,Ambedkar Nagar,2,1424.0,2.0,90.0
385,Ambedkar Nagar,3,2225.0,4.0,169.0
386,Ambedkar Nagar,3,1862.0,3.0,120.0
387,Ambedkar Nagar,3,1850.0,4.0,139.0
388,Ambedkar Nagar,3,1936.0,4.0,126.0
389,Ambedkar Nagar,3,1862.0,3.0,119.0
390,Ambedkar Nagar,2,1424.0,2.0,90.0
391,Ambedkar Nagar,3,2150.0,4.0,125.0
392,Ambedkar Nagar,4,3530.0,4.0,290.0
393,Ambedkar Nagar,3,1856.0,3.0,120.0
394,Ambedkar Nagar,3,1852.0,3.0,130.0
395,Ambedkar Nagar,3,1850.0,4.0,120.0
396,Ambedkar Nagar,2,1367.0,2.0,86.0
397,Ambedkar Nagar,4,3565.0,4.0,255.0
398,Ambedkar Nagar,2,1409.0,2.0,95.0
399,Ambedkar Nagar,3,1950.0,4.0,120.0
400,Ambedkar Nagar,3,1921.0,4.0,129.0
401,Ambedkar Nagar,3,1920.0,4.0,121.0
402,Ambedkar Nagar,3,1935.0,4.0,125.0
403,Ambedkar Nagar,3,1852.0,4.0,122.0
404,Ambedkar Nagar,3,1950.0,4.0,120.0
405,Ambedkar Nagar,3,1852.0,3.0,125.0
406,Ambedkar Nagar,3,1850.0,4.0,121.0
407,Ambedkar Nagar,2,1425.0,2.0,94.0
408,Ambedkar Nagar,3,2395.0,4.0,150.0
409,Amruthahalli,2,900.0,2.0,40.0
410,Amruthahalli,2,1200.0,2.0,55.0
411,Amruthahalli,3,1900.0,3.0,135.0
412,Amruthahalli,2,924.0,2.0,45.0
413,Amruthahalli,2,900.0,2.0,60.0
414,Amruthahalli,2,1100.0,2.0,45.0
415,Amruthahalli,2,1200.0,2.0,55.0
419,Amruthahalli,3,1450.0,2.0,85.0
420,Amruthahalli,2,1200.0,2.0,55.0
421,Amruthahalli,2,1250.0,2.0,79.0
422,Amruthahalli,2,1190.0,2.0,50.0
423,Amruthahalli,2,1202.0,2.0,65.0
424,Amruthahalli,2,1340.0,2.0,75.0
425,Amruthahalli,3,2650.0,4.0,175.0
426,Amruthahalli,3,1450.0,2.0,90.0
427,Amruthahalli,2,1025.0,2.0,42.0
428,Amruthahalli,1,485.0,1.0,19.5
429,Anandapura,2,1167.0,2.0,43.76
430,Anandapura,2,1000.0,2.0,55.0
431,Anandapura,2,1141.0,2.0,42.79
433,Anandapura,2,1200.0,2.0,67.0
434,Anandapura,2,1200.0,2.0,58.0
435,Anandapura,2,1151.0,2.0,43.1
436,Anandapura,2,1141.0,2.0,42.75
437,Anandapura,2,900.0,2.0,48.0
438,Anandapura,4,1749.0,4.0,90.0
439,Anandapura,2,1151.0,2.0,42.9
441,Anandapura,2,1250.0,2.0,45.0
442,Anandapura,2,1151.0,2.0,43.16
443,Anandapura,2,1200.0,2.0,58.0
444,Anandapura,3,1200.0,2.0,66.0
445,Anandapura,3,1415.0,2.0,74.0
446,Anandapura,2,1200.0,2.0,50.0
447,Anandapura,2,1141.0,2.0,50.0
449,Ananth Nagar,1,500.0,1.0,14.0
450,Ananth Nagar,2,1100.0,2.0,31.5
451,Ananth Nagar,2,982.0,2.0,24.55
452,Ananth Nagar,1,500.0,2.0,14.0
453,Ananth Nagar,2,900.0,2.0,22.5
454,Ananth Nagar,2,908.0,2.0,26.0
455,Ananth Nagar,2,870.0,2.0,36.0
456,Ananth Nagar,2,937.0,2.0,35.0
457,Ananth Nagar,2,960.0,2.0,37.0
458,Ananth Nagar,1,500.0,1.0,14.0
459,Ananth Nagar,2,1000.0,2.0,29.7
460,Ananth Nagar,2,850.0,2.0,25.99
461,Ananth Nagar,2,902.0,2.0,25.26
462,Ananth Nagar,3,1470.0,3.0,54.0
463,Ananth Nagar,2,810.0,2.0,25.5
464,Ananth Nagar,2,890.0,2.0,27.0
465,Ananth Nagar,2,1200.0,2.0,36.0
467,Ananth Nagar,3,1319.0,3.0,42.0
468,Ananth Nagar,2,1000.0,2.0,25.0
469,Ananth Nagar,2,902.0,2.0,25.0
470,Ananth Nagar,2,930.0,2.0,25.99
471,Ananth Nagar,2,1074.0,2.0,26.85
472,Ananth Nagar,1,500.0,1.0,14.0
473,Ananth Nagar,2,1010.0,2.0,38.0
474,Ananth Nagar,2,992.0,2.0,24.8
475,Anekal,2,1200.0,1.0,36.0
476,Anekal,2,656.0,2.0,22.0
477,Anekal,2,620.0,2.0,22.0
478,Anekal,1,600.0,1.0,16.5
479,Anekal,2,925.0,2.0,40.0
480,Anekal,1,530.0,1.0,18.0
481,Anekal,3,1800.0,3.0,68.0
482,Anekal,2,1200.0,1.0,36.0
483,Anekal,2,1035.0,2.0,38.3
484,Anekal,2,888.0,2.0,34.0
485,Anekal,2,1200.0,2.0,36.1
486,Anekal,2,700.0,1.0,19.4
487,Anekal,2,1200.0,1.0,36.0
488,Anekal,4,1200.0,2.0,36.0
489,Anekal,2,766.0,2.0,28.0
490,Anekal,3,967.0,2.0,45.0
491,Anekal,2,620.0,1.0,23.5
492,Anekal,3,1150.0,3.0,45.0
493,Anekal,2,1200.0,1.0,36.0
494,Anekal,2,1200.0,1.0,36.0
495,Anekal,1,400.0,1.0,11.5
496,Anekal,1,456.0,1.0,15.0
497,Anekal,2,1200.0,1.0,36.0
498,Anekal,2,1200.0,1.0,36.0
499,Anekal,3,2400.0,4.0,95.0
500,Anekal,2,1200.0,2.0,36.1
501,Anekal,2,1200.0,2.0,36.1
502,Anekal,2,680.0,1.0,21.0
503,Anekal,1,420.0,1.0,12.5
504,Anekal,2,614.0,1.0,28.0
505,Anekal,2,1140.0,2.0,52.0
506,Anekal,2,625.0,1.0,25.0
507,Anjanapura,4,1850.0,4.0,86.0
508,Anjanapura,2,1070.0,2.0,39.0
509,Anjanapura,3,1500.0,3.0,121.0
510,Anjanapura,2,1070.0,2.0,37.0
511,Anjanapura,2,950.0,2.0,40.0
512,Anjanapura,3,1280.0,2.0,45.0
513,Anjanapura,2,710.0,2.0,25.0
515,Anjanapura,2,950.0,2.0,32.0
516,Anjanapura,4,1800.0,4.0,55.0
517,Anjanapura,3,1843.0,3.0,87.54
518,Anjanapura,2,1076.0,2.0,30.13
519,Anjanapura,2,950.0,2.0,30.0
520,Ardendale,3,1750.0,3.0,100.0
521,Ardendale,4,3198.0,4.0,200.0
522,Ardendale,4,2422.0,4.0,160.0
523,Ardendale,3,1750.0,3.0,100.0
524,Ardendale,4,3200.0,4.0,205.0
525,Ardendale,3,1728.0,3.0,95.0
526,Ardendale,4,2062.0,3.0,140.0
527,Ardendale,3,1732.46,3.0,92.0
528,Ardendale,4,2062.0,3.0,150.0
530,Ardendale,2,1224.0,2.0,70.0
531,Ardendale,3,1777.26,3.0,105.0
532,Ardendale,3,1650.0,3.0,82.0
533,Ardendale,4,2062.0,3.0,140.0
534,Ardendale,3,1650.0,3.0,82.0
535,Ardendale,2,1224.0,2.0,67.0
536,Ardendale,3,1723.0,3.0,95.0
537,Ardendale,3,1777.26,3.0,89.0
538,Ardendale,3,1777.26,3.0,92.0
539,Arekere,3,2060.0,3.0,140.0
540,Arekere,2,920.0,2.0,40.0
541,Arekere,3,1740.0,2.0,95.0
542,Arekere,2,1190.0,2.0,55.0
543,Arekere,1,600.0,1.0,28.0
544,Arekere,3,2072.0,3.0,108.0
545,Arekere,2,1100.0,2.0,55.0
546,Arekere,2,900.0,2.0,50.0
547,Arekere,4,2710.0,6.0,142.0
548,Arekere,2,1240.0,2.0,60.0
549,Arekere,2,900.0,2.0,44.5
550,Attibele,1,450.0,1.0,11.0
551,Attibele,4,1600.0,4.0,52.8
552,Attibele,2,656.0,2.0,25.0
553,Attibele,1,400.0,1.0,11.0
554,Attibele,1,400.0,1.0,12.0
555,Attibele,1,400.0,1.0,14.0
556,Attibele,1,500.0,1.0,17.0
557,Attibele,4,2168.0,4.0,95.0
558,Attibele,1,395.0,1.0,10.25
559,Attibele,1,420.0,1.0,17.0
561,Attibele,1,418.0,1.0,12.0
562,Attibele,2,1200.0,2.0,42.0
563,Attibele,1,400.0,1.0,10.0
564,Attibele,2,695.0,1.0,25.0
565,Attibele,2,850.0,1.0,25.0
566,Attibele,3,2400.0,3.0,120.0
567,Attibele,1,450.0,1.0,12.5
571,Attibele,1,782.0,1.0,19.55
573,Attibele,2,656.0,2.0,25.0
574,Attibele,1,400.0,1.0,11.5
575,Attibele,1,460.0,1.0,13.0
576,Attibele,1,418.0,2.0,11.5
577,Attibele,2,1000.0,2.0,42.0
578,Attibele,1,550.0,1.0,11.5
580,Attibele,1,410.0,1.0,10.0
581,Attibele,3,1700.0,3.0,65.0
582,Attibele,1,400.0,1.0,10.25
583,Attibele,2,656.0,2.0,25.0
584,Attibele,3,1500.0,3.0,90.0
585,Attibele,1,520.0,1.0,15.0
586,BEML Layout,2,1060.0,2.0,55.0
588,BEML Layout,2,999.0,2.0,45.0
589,BEML Layout,5,2400.0,4.0,225.0
591,BEML Layout,2,1194.0,2.0,65.0
592,BEML Layout,2,1200.0,2.0,67.0
593,BEML Layout,2,2400.0,2.0,228.0
596,BEML Layout,2,1194.0,2.0,65.0
597,BTM 1st Stage,9,3300.0,14.0,500.0
598,BTM 1st Stage,1,375.0,1.0,40.0
599,BTM 1st Stage,3,1717.0,3.0,200.0
